Reproduced on a 22-core host, Solr 9.3.0 + ZooKeeper 3.8.1, Java 17,
~5000 Simple-English-Wikipedia docs, siege query q=city, ~6s per level.

1) Standalone (1 node, no cloud, no ZooKeeper)
Timestamp 	Concurrency 	Requests 	Elapsed Time (s) 	QPS
2026-06-28T09:33:18Z 	1.97 	1530 	6.42 	238.32
2026-06-28T09:33:18Z 	2.92 	3401 	6.92 	491.47
2026-06-28T09:33:18Z 	4.87 	5453 	6.92 	788.01
2026-06-28T09:33:18Z 	6.84 	7364 	6.91 	1065.70
2026-06-28T09:33:18Z 	10.71 	9410 	6.92 	1359.83
2026-06-28T09:33:18Z 	12.70 	10382 	6.92 	1500.29
2026-06-28T09:33:18Z 	16.64 	11231 	6.92 	1622.98
2026-06-28T09:33:18Z 	18.63 	11100 	6.90 	1608.70
2026-06-28T09:33:18Z 	22.57 	12191 	6.92 	1761.71
2026-06-28T09:33:18Z 	28.53 	13233 	6.89 	1920.61
2026-06-28T09:33:18Z 	77.82 	13550 	6.93 	1955.27
2026-06-28T09:33:18Z 	81.53 	13689 	6.89 	1986.79

2) 1 node SolrCloud (2 shards, 2 replicas), 1 ZooKeeper
Timestamp 	Concurrency 	Requests 	Elapsed Time (s) 	QPS
2026-06-28T09:33:18Z 	1.97 	239 	6.17 	38.74
2026-06-28T09:33:18Z 	2.96 	694 	6.76 	102.66
2026-06-28T09:33:18Z 	4.93 	875 	6.91 	126.63
2026-06-28T09:33:18Z 	6.89 	1241 	6.70 	185.22
2026-06-28T09:33:18Z 	10.83 	1819 	6.70 	271.49
2026-06-28T09:33:18Z 	12.76 	1740 	6.84 	254.39
2026-06-28T09:33:18Z 	16.78 	2296 	6.97 	329.41
2026-06-28T09:33:18Z 	18.69 	2156 	6.72 	320.83
2026-06-28T09:33:18Z 	22.66 	2076 	6.88 	301.74
2026-06-28T09:33:18Z 	28.61 	2641 	6.88 	383.87
2026-06-28T09:33:18Z 	75.94 	1926 	6.94 	277.52
2026-06-28T09:33:18Z 	80.23 	2231 	6.79 	328.57

3) 3 nodes SolrCloud (3 shards, 4 replicas), 1 ZooKeeper
Timestamp 	Concurrency 	Requests 	Elapsed Time (s) 	QPS
2026-06-28T09:33:18Z 	1.99 	77 	6.30 	12.22
2026-06-28T09:33:18Z 	2.97 	316 	6.89 	45.86
2026-06-28T09:33:18Z 	4.94 	478 	6.81 	70.19
2026-06-28T09:33:18Z 	6.91 	642 	6.59 	97.42
2026-06-28T09:33:18Z 	10.80 	909 	6.81 	133.48
2026-06-28T09:33:18Z 	12.81 	889 	6.81 	130.54
2026-06-28T09:33:18Z 	16.74 	1158 	6.76 	171.30
2026-06-28T09:33:18Z 	18.77 	1926 	6.85 	281.17
2026-06-28T09:33:18Z 	22.72 	2227 	6.91 	322.29
2026-06-28T09:33:18Z 	28.59 	2634 	6.93 	380.09
2026-06-28T09:33:18Z 	75.61 	2932 	6.90 	424.93
2026-06-28T09:33:18Z 	80.27 	2877 	6.71 	428.76

4) 3 nodes SolrCloud (3 shards, 4 replicas), 3 ZooKeeper
Timestamp 	Concurrency 	Requests 	Elapsed Time (s) 	QPS
2026-06-28T09:33:18Z 	1.98 	147 	6.33 	23.22
2026-06-28T09:33:18Z 	2.96 	377 	6.81 	55.36
2026-06-28T09:33:18Z 	4.93 	501 	6.87 	72.93
2026-06-28T09:33:18Z 	6.91 	651 	6.82 	95.45
2026-06-28T09:33:18Z 	10.86 	898 	6.78 	132.45
2026-06-28T09:33:18Z 	12.76 	898 	6.81 	131.86
2026-06-28T09:33:18Z 	16.78 	1227 	6.85 	179.12
2026-06-28T09:33:18Z 	18.68 	1639 	6.88 	238.23
2026-06-28T09:33:18Z 	22.61 	2004 	6.81 	294.27
2026-06-28T09:33:18Z 	28.45 	2242 	6.81 	329.22
2026-06-28T09:33:18Z 	76.30 	2306 	6.90 	334.20
2026-06-28T09:33:18Z 	80.35 	2229 	6.66 	334.68

